Model,Accuracy,Recall,AUC
LightGBM,0.8401038612949159,0.9488957563880305,0.9549474071421062
XGBoost,0.8468604294050311,0.9412075073490616,0.9544834799245983
CatBoost,0.8446547728732167,0.9378156327730459,0.9522988486344843
RandomForest,0.7719518664321412,0.9019371372578578,0.904639328998798
LogisticRegression,0.7282016919339979,0.9095500113062486,0.8827302559724652
